location,latitude_utm,longitude_utm,habitat_type,purpose,habitat_type_2,treatment,distance
ACC,38.78183,-121.60432,Agricultural Tributary,Monitoring,Perennial Instream,NA,NA
ACCSAC1,38.7817,-121.60776,Unsibsidized River,Monitoring,Perennial Instream,NA,NA
ACCSAC2,38.77818,-121.60199,Subsidized River,Monitoring,Perennial Instream,NA,NA
ACCSAC3,38.77412,-121.5984,Subsidized River,Monitoring,Perennial Instream,NA,NA
ACCSAC4,38.76663,-121.59364,Subsidized River,Monitoring,Perennial Instream,NA,NA
ELDCAN,38.85624,-121.786175,Agricultural Tributary,Monitoring,Agricultural Canal,NA,NA
ELDSAC,38.856665,-121.785262,Unsibsidized River,Monitoring,Perennial Instream,NA,NA
KLOG,38.8014,-121.72348,Agricultural Tributary,Monitoring,Perennial Instream,NA,NA
KLOGB,38.799399,-121.72528,Agricultural Tributary,Monitoring,Agricultural Canal,NA,NA
KLSAC,38.8024,-121.71673,Subsidized River,Monitoring,Perennial Instream,NA,NA
KNG1,38.7041,-121.66971,Rice Field,Experimental,Floodplain,NA,NA
KNG2,38.7034,-121.6697,Rice Field,Experimental,Floodplain,NA,NA
KNG3,38.7027,-121.66959,Rice Field,Experimental,Floodplain,NA,NA
KNG4,38.70202,-121.66954,Rice Field,Experimental,Floodplain,NA,NA
KNG5,38.70131,-121.66945,Rice Field,Experimental,Floodplain,NA,NA
KNG6,38.70057,-121.66936,Rice Field,Experimental,Floodplain,NA,NA
KNG7,38.69989,-121.6693,Rice Field,Experimental,Floodplain,NA,NA
KNG8,38.6992,-121.66923,Rice Field,Experimental,Floodplain,NA,NA
KNG9,38.6985,-121.66914,Rice Field,Experimental,Floodplain,NA,NA
KNGCAN,38.7016,-121.67063,Agricultural Tributary,Experimental,Agricultural Canal,NA,NA
MNT3A,38.9382,-121.60714,Rice Field,Monitoring,Rice Field,NA,NA
MNTEB1,38.940203,-121.64406,Unsibsidized River,Monitoring,Perennial Instream,NA,NA
MNTFEA,38.95575,-121.58389,Unsibsidized River,Monitoring,Perennial Instream,NA,NA
MNTNEW,38.94532,-121.63416,Rice Field,Monitoring,Rice Field,NA,NA
MNTNEWCAN,38.94108,-121.63439,Agricultural Tributary,Monitoring,Agricultural Canal,NA,NA
MNTNEWCAN2,38.94821,-121.634486,Agricultural Tributary,Monitoring,Agricultural Canal,NA,NA
RG92,38.83211,-121.74011,Rice Field,Monitoring,Rice Field,NA,NA
RGSAC,38.840656,-121.728323,Unsibsidized River,Monitoring,Perennial Instream,NA,NA
RRCAN,38.862152,-121.793035,Agricultural Tributary,Experimental,Agricultural Canal,NA,NA
RRSAC1,38.866534,-121.79567,Unsibsidized River,Experimental,Perennial Instream,control,-0.3
RRSAC2,38.862775,-121.792543,Subsidized River,Experimental,Perennial Instream,treatment,0
RRSAC2A,38.86281,-121.792717,Subsidized River,Experimental,Perennial Instream,treatment,0
RRSAC2B,38.863128,-121.79321,Subsidized River,Experimental,Perennial Instream,treatment,0
RRSAC2C,38.862833,-121.792459,Subsidized River,Experimental,Perennial Instream,treatment,0
RRSAC3,38.863506,-121.786417,Subsidized River,Experimental,Perennial Instream,treatment,0.5
RRSAC4,38.858198,-121.784856,Subsidized River,Experimental,Perennial Instream,treatment,1
RRSAC5,38.861379,-121.769891,Subsidized River,Experimental,Perennial Instream,treatment,2
RRSAC6,38.864657,-121.757949,Subsidized River,Experimental,Perennial Instream,treatment,3
RRSAC7,38.871208,-121.749278,Subsidized River,Experimental,Perennial Instream,treatment,4
RRSAC8,38.852505,-121.725286,Subsidized River,Experimental,Perennial Instream,treatment,6
SFT18,39.143928,-121.974314,Rice Field,Monitoring,Rice Field,NA,NA
SFTSAC,39.132719,-121.938321,Unsibsidized River,Monitoring,Perennial Instream,NA,NA
SMSAC,38.77108,-121.68924,Unsibsidized River,Monitoring,Perennial Instream,NA,NA
SMSSL,38.78444,-121.65314,Subsidized River,Monitoring,Perennial Instream,NA,NA
SMSUT,38.78519,-121.654258,Unsibsidized River,Monitoring,Perennial Instream,NA,NA
TPSAC,38.80177,-121.72133,Subsidized River,Monitoring,Perennial Instream,NA,NA
