"n_per_loc","multiplier","power","distance"
1,0.2,NA,0
2,0.2,0.0518,0
3,0.2,0.0518,0
5,0.2,0.0474,0
10,0.2,0.0542,0
20,0.2,0.0612,0
30,0.2,0.06,0
50,0.2,0.0808,0
1,0.5,NA,0
2,0.5,0.053,0
3,0.5,0.049,0
5,0.5,0.0594,0
10,0.5,0.0858,0
20,0.5,0.1214,0
30,0.5,0.17,0
50,0.5,0.2444,0
1,1,NA,0
2,1,0.0542,0
3,1,0.0716,0
5,1,0.1012,0
10,1,0.1826,0
20,1,0.3326,0
30,1,0.4896,0
50,1,0.713,0
1,2,NA,0
2,2,0.0626,0
3,2,0.124,0
5,2,0.2578,0
10,2,0.5554,0
20,2,0.8744,0
30,2,0.9688,0
50,2,0.999,0
1,5,NA,0
2,5,0.1234,0
3,5,0.4636,0
5,5,0.889,0
10,5,0.9996,0
20,5,1,0
30,5,1,0
50,5,1,0
1,0.2,NA,1
2,0.2,0.0524,1
3,0.2,0.0622,1
5,0.2,0.071,1
10,0.2,0.0982,1
20,0.2,0.1524,1
30,0.2,0.2146,1
50,0.2,0.336,1
1,0.5,NA,1
2,0.5,0.0572,1
3,0.5,0.0944,1
5,0.5,0.1598,1
10,0.5,0.3592,1
20,0.5,0.6464,1
30,0.5,0.8358,1
50,0.5,0.9686,1
1,1,NA,1
2,1,0.076,1
3,1,0.2218,1
5,1,0.5052,1
10,1,0.8938,1
20,1,0.9966,1
30,1,1,1
50,1,1,1
1,2,NA,1
2,2,0.1512,1
3,2,0.623,1
5,2,0.9674,1
10,2,1,1
20,2,1,1
30,2,1,1
50,2,1,1
1,5,NA,1
2,5,0.3698,1
3,5,0.9886,1
5,5,1,1
10,5,1,1
20,5,1,1
30,5,1,1
50,5,1,1
1,0.2,NA,6
2,0.2,0.0496,6
3,0.2,0.0562,6
5,0.2,0.0652,6
10,0.2,0.0938,6
20,0.2,0.1374,6
30,0.2,0.2034,6
50,0.2,0.3186,6
1,0.5,NA,6
2,0.5,0.0592,6
3,0.5,0.0924,6
5,0.5,0.1562,6
10,0.5,0.3354,6
20,0.5,0.6224,6
30,0.5,0.8052,6
50,0.5,0.9576,6
1,1,NA,6
2,1,0.0792,6
3,1,0.205,6
5,1,0.4862,6
10,1,0.8546,6
20,1,0.9946,6
30,1,1,6
50,1,1,6
1,2,NA,6
2,2,0.152,6
3,2,0.5782,6
5,2,0.9572,6
10,2,1,6
20,2,1,6
30,2,1,6
50,2,1,6
1,5,NA,6
2,5,0.3514,6
3,5,0.9818,6
5,5,1,6
10,5,1,6
20,5,1,6
30,5,1,6
50,5,1,6
