,Project_na,site_type,year_complete,consutruction_date
1,Prospect,Restored,NA,under_construction
2,Decker,Restored,2018,2018-10-11
21,Tule Red,Restored,2019,2019-10-15
22,Ryer,Reference,NA,Reference
24,Browns,Reference,NA,Reference
26,CACHE SLOUGH,channel,NA,channel
27,Flyway Farms,Restored,2018,2018-09-28
28,Liberty,Reference,NA,Reference
30,Bradmoor,Restored,2022,2022-11-17
31,SACTO. R DEEP WATER SH CHAN,channel,NA,channel
35,Web Tract Berms,Reference,NA,Reference
36,Winter,Restored,2019,2019-09-25
43,Chipps,Restored,2025,2025-11-26
48,Lower Yolo Ranch,Restored,2020,2020-10-01
51,Lookout Sl.,Restored,2024,2024-09-18
54,Rush Ranch,Reference,NA,Reference
62,Wings Landing,Restored,2020,2020-11-13
72,Arnold Sl.,Restored,2021,2021-10-12
73,Blacklock,Reference,NA,Reference
356,PROSPECT SLOUGH,channel,NA,channel
